2024-11-14 13:28:41,767 - INFO - number of parameters: 16.52M
2024-11-14 13:29:11,070 - INFO - Change 1: Shape of q: torch.Size([8, 8, 218, 64]), Shape of k: torch.Size([8, 2, 218, 64]), Shape of v: torch.Size([8, 2, 218, 64])
2024-11-14 13:29:11,232 - INFO - Change 1: Shape of q: torch.Size([8, 8, 218, 64]), Shape of k: torch.Size([8, 2, 218, 64]), Shape of v: torch.Size([8, 2, 218, 64])
2024-11-14 13:29:11,426 - INFO - Change 1: Shape of q: torch.Size([8, 8, 218, 64]), Shape of k: torch.Size([8, 2, 218, 64]), Shape of v: torch.Size([8, 2, 218, 64])
2024-11-14 13:29:11,631 - INFO - Change 1: Shape of q: torch.Size([8, 8, 218, 64]), Shape of k: torch.Size([8, 2, 218, 64]), Shape of v: torch.Size([8, 2, 218, 64])
2024-11-14 13:29:16,733 - INFO - Change 1: Shape of q: torch.Size([8, 8, 113, 64]), Shape of k: torch.Size([8, 2, 113, 64]), Shape of v: torch.Size([8, 2, 113, 64])
2024-11-14 13:29:16,864 - INFO - Change 1: Shape of q: torch.Size([8, 8, 113, 64]), Shape of k: torch.Size([8, 2, 113, 64]), Shape of v: torch.Size([8, 2, 113, 64])
2024-11-14 13:29:17,024 - INFO - Change 1: Shape of q: torch.Size([8, 8, 113, 64]), Shape of k: torch.Size([8, 2, 113, 64]), Shape of v: torch.Size([8, 2, 113, 64])
2024-11-14 13:29:17,209 - INFO - Change 1: Shape of q: torch.Size([8, 8, 113, 64]), Shape of k: torch.Size([8, 2, 113, 64]), Shape of v: torch.Size([8, 2, 113, 64])
2024-11-14 13:29:17,393 - INFO - Change 1: Shape of q: torch.Size([8, 8, 113, 64]), Shape of k: torch.Size([8, 2, 113, 64]), Shape of v: torch.Size([8, 2, 113, 64])
2024-11-14 13:29:17,530 - INFO - Change 1: Shape of q: torch.Size([8, 8, 113, 64]), Shape of k: torch.Size([8, 2, 113, 64]), Shape of v: torch.Size([8, 2, 113, 64])
2024-11-14 13:29:20,445 - INFO - Change 1: Shape of q: torch.Size([8, 8, 238, 64]), Shape of k: torch.Size([8, 2, 238, 64]), Shape of v: torch.Size([8, 2, 238, 64])
2024-11-14 13:29:20,721 - INFO - Change 1: Shape of q: torch.Size([8, 8, 238, 64]), Shape of k: torch.Size([8, 2, 238, 64]), Shape of v: torch.Size([8, 2, 238, 64])
2024-11-14 13:29:20,986 - INFO - Change 1: Shape of q: torch.Size([8, 8, 238, 64]), Shape of k: torch.Size([8, 2, 238, 64]), Shape of v: torch.Size([8, 2, 238, 64])
2024-11-14 13:29:21,337 - INFO - Change 1: Shape of q: torch.Size([8, 8, 238, 64]), Shape of k: torch.Size([8, 2, 238, 64]), Shape of v: torch.Size([8, 2, 238, 64])
2024-11-14 13:29:21,645 - INFO - Change 1: Shape of q: torch.Size([8, 8, 238, 64]), Shape of k: torch.Size([8, 2, 238, 64]), Shape of v: torch.Size([8, 2, 238, 64])
2024-11-14 13:29:21,903 - INFO - Change 1: Shape of q: torch.Size([8, 8, 238, 64]), Shape of k: torch.Size([8, 2, 238, 64]), Shape of v: torch.Size([8, 2, 238, 64])
